"Item Code","Item Description","Part No.","Part Description","Model","Unit Of Measurement","Spare Part Type","Location","Specify","Part Category","Is Expiry date Required","Min Nos","Max Nos","Minimum Price Per Nos (RM)","Maximum Price Per Nos (RM)","Brand","Status","Expiry Age (In Month)","Current Stock Level"
"BP0004","Cables/ Lead Wires (or any part of it)","01-1601-0103-011","PHILIPS 5 LEAD TRUNK CABLE ECG M1530A","78353a","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","5","15"," [$500Fri, 04 May 1900 00:00:00 +0000] * #,##0.00 "," [$500Sat, 19 May 1900 00:00:00 +0000] * #,##0.00 ","Hewlett Packard","Active","0","4"
"BP0025","Sensors/ Detectors","01-1601-1301-002","Spo2 finger sensor M1191BL","V24","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","10","30"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$201Sun, 03 Feb 1901 00:00:00 +0000] * #,##0.00 ","AGILENT","Active","0","0"
"BP0003","Bulbs/ Lamps","01-1201-0201-001","Bulb Laryngoscope Adult Penlon 55091","Penlon","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","1","25"," [$100Sat, 20 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$100Tue, 23 Jan 1900 00:00:00 +0000] * #,##0.00 ","Penlon","Active","0","17"
"BP0011","Equipment Specific Parts","01-0909-0200-001","KEYPAD ORALIX","Common","Unit","Just In Time","Company Site Office","","Biomedical","No","5","10"," [$700Wed, 18 Jul 1900 00:00:00 +0000] * #,##0.00 "," [$900Thu, 06 Sep 1900 00:00:00 +0000] * #,##0.00 ","Common","Active","","1"
"BP0028","Transducers/ Probes","01-0303-0201-001","2Mhz Tranducer (Blue)","Sonicaid","Unit","Just In Time","Centralized","","Biomedical","No","0","5"," [$605Thu, 22 Jun 1905 00:00:00 +0000] * #,##0.00 "," [$406Wed, 18 Apr 1906 00:00:00 +0000] * #,##0.00 ","Oxford Instrument","Active","0","1"
"BP0011","Equipment Specific Parts","01-2202-0404-001","Water Trap","","Unit","One Off","Company Site Office","","Biomedical","No","0","10"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$400Tue, 24 Apr 1900 00:00:00 +0000] * #,##0.00 ","Draeger","Active","","10"
"BP0002","Blankets/ Mattresses","01-1803-0101-001","HUNTLEGLY RIPPLE MATTRESS","Alphabed","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","1","20"," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 "," [$1001Fri, 11 Oct 1901 00:00:00 +0000] * #,##0.00 ","HUNTLEIGH","Active","0","0"
"BP0004","Cables/ Lead Wires (or any part of it)","01-1603-1710-012","SPO2 FINGER SENSOR NIHON KOHDEN","Pvm-2701","Unit","Just In Time","Company Site Office","","Biomedical","No","0","10"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$1000Sat, 06 Oct 1900 00:00:00 +0000] * #,##0.00 ","Nihon Kohden","Active","","7"
"BP0003","Bulbs/ Lamps","01-1301-0702-002","BULB OSRAM XBOR 300W/60C","","Unit","One Off","Company Site Office","","Biomedical","No","1","2"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$108Tue, 28 Jan 1908 00:00:00 +0000] * #,##0.00 ","Karl Storz","Active","","2"
"BP0004","Cables/ Lead Wires (or any part of it)","01-0503-1102-002","ECG USB Cable","Eli 230","Unit","Just In Time","Company Site Office","","Biomedical","No","0","5"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$403Tue, 14 Apr 1903 00:00:00 +0000] * #,##0.00 ","MORTARA","Active","","2"
"BP0011","Equipment Specific Parts","01-1502-0207-001","LED BULB 3.5V Opthalmoscope","Keeler Professional","Unit","Just In Time","Company Site Office","","Biomedical","No","5","10"," [$500Tue, 29 May 1900 00:00:00 +0000] * #,##0.00 "," [$600Mon, 18 Jun 1900 00:00:00 +0000] * #,##0.00 ","Keeler","Active","","1"
"BP0025","Sensors/ Detectors","01-1603-2701-001","Spo2 Finger Sensor Adult, Trusat","Trusat","Unit","Just In Time","Company Site Office","","Biomedical","No","0","5"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$500Tue, 29 May 1900 00:00:00 +0000] * #,##0.00 ","Ge","Active","","1"
"BP0014","Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes","01-1803-1800-004","MATRESS SIDE 9MM CONNECTER","Alpha Active 3","Unit","Just In Time","Company Site Office","","Biomedical","No","0","25"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$400Wed, 04 Apr 1900 00:00:00 +0000] * #,##0.00 ","","Active","","3"
"BP0013","Heater Elements","01-2305-0101-003","Heater 230-240Vac, 50/60Hz","750","Unit","One Off","Company Site Office","","Biomedical","No","0","15"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$801Thu, 22 Aug 1901 00:00:00 +0000] * #,##0.00 ","","Active","","0"
"BP0001","Batteries/ UPS","01-2003-0101-002","BATTERY CR-1/3N","","Unit","One Off","Company Site Office","","Biomedical","No","0","20"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$100Thu, 25 Jan 1900 00:00:00 +0000] * #,##0.00 ","","Active","","2"
"BP0004","Cables/ Lead Wires (or any part of it)","01-1604-1809-001","SPO2 Extension Cable PN:0010-20-42710 or 562A","Mindray iMEC8","Unit","Just In Time","Company Site Office","","Biomedical","No","1","15"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$400Sun, 29 Apr 1900 00:00:00 +0000] * #,##0.00 ","","Active","","0"
"BP0028","Transducers/ Probes","01-0303-0201-002","CARDIOTOCOGRAPH Toco Ultrasound Tranducer (Pink)","Common","Unit","Just In Time","Centralized","","Biomedical","No","0","5"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$807Sat, 31 Aug 1907 00:00:00 +0000] * #,##0.00 ","Common","Active","0","3"
"BP0025","Sensors/ Detectors","01-2202-1701-001","OXYGEN SENSOR","E360","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","1","5"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$801Tue, 20 Aug 1901 00:00:00 +0000] * #,##0.00 ","NEWPORT","Active","0","12"
"BP0011","Equipment Specific Parts","01-2202-1402-003","EXPIRATORY CASSETE","Servo-i","Unit","Just In Time","Company Site Office","","Biomedical","No","2","5"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$616Sun, 04 Jun 1916 00:00:00 +0000] * #,##0.00 ","","Active","","0"
"BP0003","Bulbs/ Lamps","01-1505-0404-001","SOCKET BULB BLUE 130 MAQUET OT LIGHT","","Unit","One Off","Company Site Office","","Biomedical","No","0","10"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$201Sat, 23 Feb 1901 00:00:00 +0000] * #,##0.00 ","","Active","","7"
"BP0025","Sensors/ Detectors","01-0102-0102-003","DATEX OHMEDA (AESTIVA 5) 02 CELL 6050-0004-110","Aestiva 3000","Unit","Fast Moving Item","Company Site Office","","Biomedical","Yes","1","15"," [$900Thu, 06 Sep 1900 00:00:00 +0000] * #,##0.00 "," [$101Thu, 24 Jan 1901 00:00:00 +0000] * #,##0.00 ","","Active","6","3"
"BP0004","Cables/ Lead Wires (or any part of it)","01-0503-0102-021","NIHON KOHDEN Fast Clip Ecg Electrode","6851k","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","1","50"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$300Mon, 05 Mar 1900 00:00:00 +0000] * #,##0.00 ","Nihon Kohden","Active","0","6"
"BP0003","Bulbs/ Lamps","01-1505-0102-001","BULB MAQUET BLUE 22.8V 90W","","Unit","Just In Time","Company Site Office","","Biomedical","No","10","50"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$800Sun, 12 Aug 1900 00:00:00 +0000] * #,##0.00 ","Hanaulux","Active","","0"
"BP0025","Sensors/ Detectors","01-1603-2601-001","SPO finger sensor mindray adult 512F","","Unit","Just In Time","Others","Vendor By Purchase Order","Biomedical","No","5","15"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$900Thu, 06 Sep 1900 00:00:00 +0000] * #,##0.00 ","Mindray","Active","","0"
"BP0011","Equipment Specific Parts","01-0909-0200-003","Drop sensor,BRAND:ORALIX, MODEL:OR-1500H","Or-1500h","Unit","Just In Time","Company Site Office","","Biomedical","No","1","10"," [$400Mon, 09 Apr 1900 00:00:00 +0000] * #,##0.00 "," [$1200Tue, 25 Dec 1900 00:00:00 +0000] * #,##0.00 ","","Active","","8"
"BP0004","Cables/ Lead Wires (or any part of it)","01-1603-1706-001","EXTENSION CABLE RC-12","Rainbow Radocare","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","1","15"," [$500Fri, 04 May 1900 00:00:00 +0000] * #,##0.00 "," [$301Mon, 25 Mar 1901 00:00:00 +0000] * #,##0.00 ","Masimo","Active","0","0"
"BP0022","Power Supply Unit (PCB or Module)/ Transfomer","01-2406-0201-032","CHARGERMODULE ASSY","Amx-4","Unit","One Off","Company Site Office","","Biomedical","No","1","2"," [$1025Tue, 27 Oct 1925 00:00:00 +0000] * #,##0.00 "," [$527Wed, 18 May 1927 00:00:00 +0000] * #,##0.00 ","GE","Active","","0"
"BP0007","Diaphragms/ Pumps","01-0802-0502-004","Ultrafiltration Pump","4008b","Unit","One Off","Company Site Office","","Biomedical","No","0","2"," [$1205Tue, 19 Dec 1905 06:00:00 +0000] * #,##0.00 "," [$1106Sun, 04 Nov 1906 00:00:00 +0000] * #,##0.00 ","Fresenius","Active","","0"
"BP0006","Cuffs","01-2002-0101-003","Cuff Cylindrical 34 Ats","Ats 1500/2000","Unit","One Off","Company Site Office","","Biomedical","No","0","5"," [$401Thu, 04 Apr 1901 00:00:00 +0000] * #,##0.00 "," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 ","Zimmer","Active","","0"
"BP0006","Cuffs","01-2002-0101-002","Cuff Cylindrical 24 Ats","Ats 1500/2000","Unit","One Off","Company Site Office","","Biomedical","No","0","5"," [$401Thu, 04 Apr 1901 00:00:00 +0000] * #,##0.00 "," [$801Thu, 22 Aug 1901 00:00:00 +0000] * #,##0.00 ","Zimmer","Active","","2"
"BP0004","Cables/ Lead Wires (or any part of it)","01-1601-1705-001","6 lead wire for telemetri transmitter for ge apex PRO part no:421930-001","Apex Pro","Unit","Just In Time","Company Site Office","","Biomedical","No","0","20"," [$500Fri, 04 May 1900 00:00:00 +0000] * #,##0.00 "," [$700Wed, 18 Jul 1900 00:00:00 +0000] * #,##0.00 ","Ge","Active","","3"
"BP0025","Sensors/ Detectors","01-0803-0105-007","Temperature Probe 900MR860","","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","1","5"," [$202Thu, 27 Feb 1902 00:00:00 +0000] * #,##0.00 "," [$402Tue, 29 Apr 1902 00:00:00 +0000] * #,##0.00 ","Fisher & Paykel","Active","","4"
"BP0001","Batteries/ UPS","01-0903-0303-005","Rechargeable Battery (TE-112)","Te-112","Unit","One Off","Company Site Office","","Biomedical","No","0","5"," [$500Wed, 09 May 1900 00:00:00 +0000] * #,##0.00 "," [$700Wed, 18 Jul 1900 00:00:00 +0000] * #,##0.00 ","Terumo","Active","","4"
"BP0004","Cables/ Lead Wires (or any part of it)","01-1603-1708-002","Extension Cable PC-8","Radical","Unit","Just In Time","Company Site Office","","Biomedical","No","0","10"," [$1201Mon, 30 Dec 1901 00:00:00 +0000] * #,##0.00 "," [$302Mon, 10 Mar 1902 00:00:00 +0000] * #,##0.00 ","Masimo","Active","","5"
"BP0001","Batteries/ UPS","01-0401-1003-001","Battery LI-ion 14.8V 6.6Ah 98Wh (for Heartstart XL+)","HeartStart XL+","Unit","Just In Time","Company Site Office","","Biomedical","No","0","2"," [$105Mon, 23 Jan 1905 00:00:00 +0000] * #,##0.00 "," [$605Thu, 22 Jun 1905 00:00:00 +0000] * #,##0.00 ","PHILIPS","Active","","0"
"BP0012","Filters","01-1805-0101-004","Black Carbon Filter","Waterman 11","Unit","One Off","Company Site Office","","Biomedical","No","0","10"," [$100Mon, 08 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$100Tue, 09 Jan 1900 14:24:00 +0000] * #,##0.00 ","Waterman","Active","","1"
"BP0012","Filters","01-1805-0101-002","Cotton Filter-10 Inch","Waterman 11","Unit","One Off","Company Site Office","","Biomedical","No","0","10"," [$100Fri, 05 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 ","Waterman","Active","","9"
"BP0011","Equipment Specific Parts","01-0903-0207-002","PLUNGER CLAMP ASSY","Top 5500","Unit","One Off","Company Site Office","","Biomedical","No","0","20"," [$500Sat, 19 May 1900 00:00:00 +0000] * #,##0.00 "," [$700Wed, 18 Jul 1900 00:00:00 +0000] * #,##0.00 ","TOP","Active","","2"
"BP0025","Sensors/ Detectors","01-1603-2601-002","Extension finger sensor Mindray PM-60 DB9","","Unit","Just In Time","Company Site Office","","Biomedical","No","1","5"," [$700Sat, 21 Jul 1900 00:00:00 +0000] * #,##0.00 "," [$800Thu, 02 Aug 1900 00:00:00 +0000] * #,##0.00 ","Mindray","Active","","2"
"BP0001","Batteries/ UPS","01-0203-0903-001","BATTERY MINDRAY DUO","Vs-800","Unit","Just In Time","Company Site Office","","Biomedical","No","1","15"," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 "," [$302Mon, 10 Mar 1902 00:00:00 +0000] * #,##0.00 ","Mindray","Active","","0"
"BP0014","Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes","01-0803-0107-001","Hose heater wire 900mr751","Mr 850aeu","Unit","One Off","Company Site Office","","Biomedical","No","0","5"," [$1100Thu, 15 Nov 1900 00:00:00 +0000] * #,##0.00 "," [$101Wed, 02 Jan 1901 00:00:00 +0000] * #,##0.00 ","Fisher & Paykel","Active","","3"
"BP0004","Cables/ Lead Wires (or any part of it)","01-0401-0201-012","3 Lead Wire","Cardiolife TEC-7100K","Unit","Just In Time","Company Site Office","","Biomedical","No","0","10"," [$500Fri, 04 May 1900 00:00:00 +0000] * #,##0.00 "," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 ","Nihon Kohden","Active","","5"
"BP0001","Batteries/ UPS","01-0903-0504-001","Battery Smart Pack","Asena GS","Unit","One Off","Company Site Office","","Biomedical","No","0","5"," [$201Thu, 28 Feb 1901 00:00:00 +0000] * #,##0.00 "," [$1101Sat, 30 Nov 1901 00:00:00 +0000] * #,##0.00 ","ALARIS","Active","","15"
"BP0020","Paddles/ Wheels/ Castors/Brakes","01-0401-0206-001","External Paddle for TEC-7621K","Cardiolife TEC-7621K","Unit","One Off","Company Site Office","","Biomedical","No","0","10"," [$303Wed, 11 Mar 1903 00:00:00 +0000] * #,##0.00 "," [$308Wed, 18 Mar 1908 00:00:00 +0000] * #,##0.00 ","Nihon Kohden","Active","","3"
"BP0025","Sensors/ Detectors","01-0903-0303-001","DROP SENSOR TERUMO TE-112","Te-112","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","3","10"," [$104Thu, 07 Jan 1904 00:00:00 +0000] * #,##0.00 "," [$204Mon, 08 Feb 1904 00:00:00 +0000] * #,##0.00 ","Terumo","Active","","4"
"BP0020","Paddles/ Wheels/ Castors/Brakes","01-0802-0503-096","CASTOR","4008s","Unit","One Off","Company Site Office","","Biomedical","No","0","60"," [$400Fri, 27 Apr 1900 00:00:00 +0000] * #,##0.00 "," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 ","Fresenius","Active","","0"
"BP0001","Batteries/ UPS","01-1909-0304-001","Sypu Battery 12V 700Mah(3.6V-600Mah)","Perfusor Compact","Unit","Just In Time","Centralized","","Biomedical","No","5","40"," [$600Sat, 23 Jun 1900 00:00:00 +0000] * #,##0.00 "," [$700Thu, 19 Jul 1900 06:00:00 +0000] * #,##0.00 ","B.Braun","Active","0","14"
"BP0004","Cables/ Lead Wires (or any part of it)","01-1604-2700-004","SPO2 Nellcor Interm Cable","","Unit","Just In Time","Company Site Office","","Biomedical","No","0","5"," [$701Wed, 03 Jul 1901 00:00:00 +0000] * #,##0.00 "," [$602Wed, 18 Jun 1902 00:00:00 +0000] * #,##0.00 ","DRAEGER","Active","","1"
"BP0025","Sensors/ Detectors","01-0901-0104-001","Skin Temp Probe (CM-6450Y)","V-2100g","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","1","5"," [$1001Fri, 11 Oct 1901 00:00:00 +0000] * #,##0.00 "," [$602Wed, 18 Jun 1902 00:00:00 +0000] * #,##0.00 ","ATOM","Active","","2"
"BP0028","Transducers/ Probes","01-0303-0701-002","Ultrasound Tranducer","Fm 200","Unit","One Off","Company Site Office","","Biomedical","No","0","5"," [$412Fri, 26 Apr 1912 00:00:00 +0000] * #,##0.00 "," [$319Sat, 01 Mar 1919 00:00:00 +0000] * #,##0.00 ","Philips","Active","","2"
"BP0003","Bulbs/ Lamps","01-0403-0401-010","Bulb 15v 150W","","Unit","One Off","Company Site Office","","Biomedical","No","0","15"," [$200Sun, 11 Feb 1900 00:00:00 +0000] * #,##0.00 "," [$200Mon, 19 Feb 1900 00:00:00 +0000] * #,##0.00 ","Siemens","Active","","1"
"BP0026","Solenoids/ Valves/ Gauges","01-1903-0101-002","BP SET MANUAL Rubber Ball with Control Valve","Accoson","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","1","100"," [$100Tue, 16 Jan 1900 12:00:00 +0000] * #,##0.00 "," [$200Mon, 19 Feb 1900 00:00:00 +0000] * #,##0.00 ","ACCOSON","Active","","6"
"BP0025","Sensors/ Detectors","01-2202-1701-003","Exhalation Flow Sensor MT for E360","E360","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","1","20"," [$1000Fri, 26 Oct 1900 00:00:00 +0000] * #,##0.00 "," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 ","NEWPORT","Active","","2"
"BP0013","Heater Elements","01-0803-0105-009","Heater Wire adaptor dual 900MR805 humidifier MR850","","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","1","5"," [$801Tue, 20 Aug 1901 00:00:00 +0000] * #,##0.00 "," [$1101Sat, 30 Nov 1901 00:00:00 +0000] * #,##0.00 ","Fisher & Paykel","Active","","1"
"BP0012","Filters","01-0901-0101-002","FILTER ATOM","V850","Unit","Just In Time","Company Site Office","","Biomedical","No","10","30"," [$400Thu, 19 Apr 1900 00:00:00 +0000] * #,##0.00 "," [$500Tue, 29 May 1900 00:00:00 +0000] * #,##0.00 ","Atom","Active","","0"
"BP0010","Electronic Components","01-2401-0101-005","FUSE","Kxo-50f","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","10","50"," [$170Thu, 01 Jan 1970 09:36:00 +0000] * #,##0.00 "," [$100Sat, 20 Jan 1900 00:00:00 +0000] * #,##0.00 ","TOSHIBA","Active","","498"
"BP0004","Cables/ Lead Wires (or any part of it)","01-0503-1101-001","ECG 10 LEAD MORTARA","Eli 250","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","1","2"," [$500Fri, 04 May 1900 00:00:00 +0000] * #,##0.00 "," [$1000Fri, 26 Oct 1900 00:00:00 +0000] * #,##0.00 ","MORTARA","Active","","0"
"BP0004","Cables/ Lead Wires (or any part of it)","01-1601-0503-006","5-Lead Trunk Cable","S/5 Ccm","Unit","Just In Time","Company Site Office","","Biomedical","No","0","5"," [$700Wed, 18 Jul 1900 00:00:00 +0000] * #,##0.00 "," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 ","","Active","","0"
"BP0025","Sensors/ Detectors","01-2202-1103-001","Oxygen Sensor HAMILTON","Hamilton T1","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","1","5"," [$902Fri, 26 Sep 1902 00:00:00 +0000] * #,##0.00 "," [$605Thu, 22 Jun 1905 00:00:00 +0000] * #,##0.00 ","","Active","","6"
"BP0011","Equipment Specific Parts","01-2305-0101-004","User Interface Assembly","750","Unit","One Off","Company Site Office","","Biomedical","No","0","15"," [$1101Sun, 10 Nov 1901 00:00:00 +0000] * #,##0.00 "," [$602Wed, 18 Jun 1902 00:00:00 +0000] * #,##0.00 ","","Active","","2"
"BP0014","Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes","01-2305-0101-002","Swivel Air Hose With sensor","750","Unit","One Off","Company Site Office","","Biomedical","No","0","15"," [$1201Fri, 20 Dec 1901 00:00:00 +0000] * #,##0.00 "," [$602Wed, 18 Jun 1902 00:00:00 +0000] * #,##0.00 ","","Active","","4"
"BP0019","O-Rings/ Belts/ Seals/ Gaskets/ Washers","01-0207-0101-003","GREEN BELT","Lactina Electric Plus","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","1","15"," [$700Mon, 16 Jul 1900 00:00:00 +0000] * #,##0.00 "," [$1000Fri, 26 Oct 1900 00:00:00 +0000] * #,##0.00 ","","Active","","3"
"BP0001","Batteries/ UPS","01-0209-0000-002","BATTERY DOPPLER NICOLET","Imexdop Ct+","Unit","One Off","Company Site Office","","Biomedical","No","0","15"," [$500Tue, 29 May 1900 00:00:00 +0000] * #,##0.00 "," [$1000Fri, 26 Oct 1900 00:00:00 +0000] * #,##0.00 ","","Active","","15"
"BP0012","Filters","01-1812-0401-001","Carbon Cartrid filter 10","","Unit","Just In Time","Company Site Office","","Biomedical","No","0","20"," [$100Sun, 14 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$100Sat, 20 Jan 1900 00:00:00 +0000] * #,##0.00 ","","Active","","2"
"BP0012","Filters","01-1812-0402-001","Cartridge filter imicon 10","","Unit","Just In Time","Company Site Office","","Biomedical","No","5","20"," [$100Sun, 14 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$100Sat, 20 Jan 1900 00:00:00 +0000] * #,##0.00 ","","Active","","18"
"BP0005","Casing/ Covers/ Brackets/ Latches/ Part Holders","01-0903-0503-001","Cover Syringe pump","IVAC PCAM","Unit","One Off","Company Site Office","","Biomedical","No","0","5"," [$900Sun, 16 Sep 1900 00:00:00 +0000] * #,##0.00 "," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 ","","Active","","5"
"BP0025","Sensors/ Detectors","01-1604-2606-001","Spo2 Extension sensor","IntelliVue MP20","Unit","Just In Time","Company Site Office","","Biomedical","No","0","15"," [$500Tue, 29 May 1900 00:00:00 +0000] * #,##0.00 "," [$1000Fri, 26 Oct 1900 00:00:00 +0000] * #,##0.00 ","Philips","Active","","10"
"BP0003","Bulbs/ Lamps","01-1301-1001-001","Halogen Bulb 6V 30W (Philips)","","Unit","Just In Time","Company Site Office","","Biomedical","No","5","10"," [$400Thu, 05 Apr 1900 00:00:00 +0000] * #,##0.00 "," [$500Tue, 29 May 1900 00:00:00 +0000] * #,##0.00 ","Philips","Active","","3"
"BP0001","Batteries/ UPS","01-1603-2601-003","Rechargeable Batttery","","Unit","Just In Time","Company Site Office","","Biomedical","No","5","10"," [$601Sat, 08 Jun 1901 00:00:00 +0000] * #,##0.00 "," [$302Mon, 10 Mar 1902 00:00:00 +0000] * #,##0.00 ","Mindray","Active","","1"
"BP0004","Cables/ Lead Wires (or any part of it)","01-2203-0403-001","FLOW SENSOR CONECTOR CABLE 8416600","Babylog VN500","Unit","Just In Time","Company Site Office","","Biomedical","No","2","5"," [$702Thu, 31 Jul 1902 00:00:00 +0000] * #,##0.00 "," [$403Tue, 14 Apr 1903 00:00:00 +0000] * #,##0.00 ","DRAEGER","Active","","0"
"BP0003","Bulbs/ Lamps","01-1912-0201-002","HALOGEN Bulb Derung 24v 75w","HS-100","Unit","Just In Time","Company Site Office","","Biomedical","No","5","20"," [$300Thu, 15 Mar 1900 00:00:00 +0000] * #,##0.00 "," [$700Wed, 18 Jul 1900 00:00:00 +0000] * #,##0.00 ","","Active","","11"
"BP0011","Equipment Specific Parts","01-0909-0200-004","Battery Oralix","Or-1500h","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","5","10"," [$1000Fri, 26 Oct 1900 00:00:00 +0000] * #,##0.00 "," [$1200Tue, 25 Dec 1900 00:00:00 +0000] * #,##0.00 ","","Active","","14"
"BP0011","Equipment Specific Parts","01-1301-0109-001","Bulb mercury short ARC HBO 100/2","","Unit","Just In Time","Company Site Office","","Biomedical","No","0","30"," [$401Wed, 24 Apr 1901 00:00:00 +0000] * #,##0.00 "," [$1101Sat, 30 Nov 1901 00:00:00 +0000] * #,##0.00 ","OLYMPUS","Active","","6"
"BP0013","Heater Elements","01-0803-0105-002","900MR754 Heater Wire","Mr850","Unit","One Off","Company Site Office","","Biomedical","No","0","5"," [$1000Fri, 26 Oct 1900 00:00:00 +0000] * #,##0.00 "," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 ","Fisher & Paykel","Active","","0"
"BP0013","Heater Elements","01-0803-0105-012","Heater Wire Adaptor 900MR559","","Unit","One Off","Company Site Office","","Biomedical","No","0","10"," [$1000Sun, 14 Oct 1900 00:00:00 +0000] * #,##0.00 "," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 ","Fisher & Paykel","Active","","10"
"BP0011","Equipment Specific Parts","01-1201-0101-006","LAMB CARTRIDGE ASSY 6 SERIES )(608125-501)","6-Series","Unit","One Off","Company Site Office","","Biomedical","No","0","10"," [$700Sun, 08 Jul 1900 00:00:00 +0000] * #,##0.00 "," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 ","WELCH ALLYN","Active","","0"
"BP0001","Batteries/ UPS","01-1502-0206-001","Lithium ION Battery 3.6V(Red)","Keeler Profesional","Unit","Just In Time","Company Site Office","","Biomedical","No","1","5"," [$401Wed, 24 Apr 1901 00:00:00 +0000] * #,##0.00 "," [$902Fri, 26 Sep 1902 00:00:00 +0000] * #,##0.00 ","KEELER","Active","","0"
"BP0003","Bulbs/ Lamps","01-0306-0303-001","Halogen Lamp","","Unit","Just In Time","Company Site Office","","Biomedical","No","2","5"," [$404Tue, 19 Apr 1904 00:00:00 +0000] * #,##0.00 "," [$605Thu, 22 Jun 1905 00:00:00 +0000] * #,##0.00 ","","Active","","3"
"BP0001","Batteries/ UPS","01-0903-0207-003","Battery Pack BP55","Top 5500","Unit","One Off","Company Site Office","","Biomedical","No","1","15"," [$400Thu, 19 Apr 1900 00:00:00 +0000] * #,##0.00 "," [$900Thu, 06 Sep 1900 00:00:00 +0000] * #,##0.00 ","Top","Active","","11"
"BP0008","Displays/ Backlights/ Panels","01-1601-1001-009","LCD MONITOR","Solar 8000","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","1","5"," [$101Mon, 14 Jan 1901 00:00:00 +0000] * #,##0.00 "," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 ","","Active","","3"
"BP0004","Cables/ Lead Wires (or any part of it)","01-0503-0102-024","LEAD CABLE ECG","","Unit","Just In Time","Company Site Office","","Biomedical","No","1","15"," [$900Thu, 06 Sep 1900 00:00:00 +0000] * #,##0.00 "," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 ","Nihon Kohden","Active","","8"
"BP0004","Cables/ Lead Wires (or any part of it)","01-1604-2102-001","NIBP INTERCONNECT CABLE","IntelliVue MP60","Unit","Just In Time","Company Site Office","","Biomedical","No","1","10"," [$200Sat, 24 Feb 1900 00:00:00 +0000] * #,##0.00 "," [$500Tue, 29 May 1900 00:00:00 +0000] * #,##0.00 ","Philips","Active","","13"
